,Unnamed: 0.1,Unnamed: 0,multiple_deliveries,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min),distance,Weather conditions_Cloudy,Weather conditions_Fog,Weather conditions_Sandstorms,Weather conditions_Stormy,Weather conditions_Sunny,Weather conditions_Windy,Road_traffic_density_High,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Vehicle_condition,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_electric_scooter,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Festival,City_Metropolitian,City_Semi-Urban,City_Urban
5636,5636,7741,1.0,1900-01-01 20:45:00,1900-01-01 20:50:00,6,1,0,49,10.9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5637,5637,7742,1.0,1900-01-01 09:25:00,1900-01-01 09:35:00,0,0,0,19,2.4,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1
5639,5639,7744,1.0,1900-01-01 21:50:00,1900-01-01 21:55:00,2,0,0,27,39.1,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,1
5641,5641,7746,1.0,1900-01-01 22:35:00,1900-01-01 22:40:00,1,0,0,18,14.0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1
5642,5642,7747,1.0,1900-01-01 09:40:00,1900-01-01 09:45:00,1,0,0,15,3.6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
5643,5643,7748,1.0,1900-01-01 09:10:00,1900-01-01 09:15:00,4,0,0,20,7.5,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,1
5644,5644,7749,1.0,1900-01-01 20:40:00,1900-01-01 20:50:00,4,0,0,25,20.5,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
5645,5645,7750,1.0,1900-01-01 11:50:00,1900-01-01 12:05:00,2,0,0,25,2.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
5646,5646,7751,2.0,1900-01-01 23:15:00,1900-01-01 23:20:00,6,1,0,36,21.8,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
5647,5647,7752,1.0,1900-01-01 17:40:00,1900-01-01 17:50:00,3,0,0,15,11.2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
5648,5648,7753,1.0,1900-01-01 12:00:00,1900-01-01 12:10:00,5,1,0,32,2.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5649,5649,7754,1.0,1900-01-01 18:20:00,1900-01-01 18:35:00,5,1,0,30,36.7,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
5650,5650,7755,1.0,1900-01-01 23:10:00,1900-01-01 23:20:00,5,1,0,36,11.9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
5651,5651,7756,1.0,1900-01-01 19:25:00,1900-01-01 19:40:00,4,0,0,31,15.6,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0
5652,5652,7759,1.0,1900-01-01 20:00:00,1900-01-01 20:10:00,2,0,0,28,26.8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5654,5654,7762,1.0,1900-01-01 18:50:00,1900-01-01 18:55:00,6,1,0,18,7.6,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
5655,5655,7763,3.0,1900-01-01 11:45:00,1900-01-01 11:50:00,3,0,0,46,7.4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
5656,5656,7764,1.0,1900-01-01 22:55:00,1900-01-01 23:00:00,3,0,0,29,22.4,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0
5658,5658,7766,1.0,1900-01-01 18:25:00,1900-01-01 18:35:00,3,0,0,26,15.7,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
5659,5659,7767,1.0,1900-01-01 17:40:00,1900-01-01 17:45:00,3,0,0,24,11.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
5660,5660,7768,1.0,1900-01-01 13:20:00,1900-01-01 13:25:00,5,1,0,34,14.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
5662,5662,7771,1.0,1900-01-01 11:50:00,1900-01-01 12:00:00,3,0,0,31,2.5,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0
5663,5663,7772,1.0,1900-01-01 19:25:00,1900-01-01 19:35:00,4,0,0,18,9.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
5664,5664,7775,1.0,1900-01-01 14:50:00,1900-01-01 15:05:00,0,0,0,21,11.8,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0
5666,5666,7777,1.0,1900-01-01 19:15:00,1900-01-01 19:30:00,5,1,0,33,21.6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
5667,5667,7778,1.0,1900-01-01 19:15:00,1900-01-01 19:30:00,2,0,0,35,21.5,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0
5669,5669,7781,1.0,1900-01-01 20:25:00,1900-01-01 20:35:00,3,0,0,34,9.4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
5671,5671,7783,1.0,1900-01-01 23:45:00,1900-01-01 00:00:00,2,0,0,29,18.5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
5672,5672,7784,1.0,1900-01-01 20:50:00,1900-01-01 21:00:00,2,0,0,31,15.4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
5673,5673,7785,1.0,1900-01-01 15:50:00,1900-01-01 16:05:00,1,0,0,27,8.9,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0
5674,5674,7788,1.0,1900-01-01 09:30:00,1900-01-01 09:40:00,0,0,0,26,9.4,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
5675,5675,7790,1.0,1900-01-01 17:55:00,1900-01-01 18:00:00,4,0,0,25,27.9,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
5676,5676,7791,1.0,1900-01-01 12:50:00,1900-01-01 12:55:00,3,0,0,26,14.1,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0
5677,5677,7792,1.0,1900-01-01 19:20:00,1900-01-01 19:25:00,3,0,0,25,7.2,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0
5679,5679,7794,1.0,1900-01-01 10:00:00,1900-01-01 10:05:00,3,0,0,22,4.6,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0
5680,5680,7796,1.0,1900-01-01 08:20:00,1900-01-01 08:30:00,6,1,0,28,4.4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
5681,5681,7797,1.0,1900-01-01 23:00:00,1900-01-01 23:05:00,2,0,0,24,39.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
5683,5683,7799,1.0,1900-01-01 23:10:00,1900-01-01 23:15:00,6,1,0,24,23.1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1
5684,5684,7800,1.0,1900-01-01 18:10:00,1900-01-01 18:20:00,3,0,0,32,13.7,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
5685,5685,7802,1.0,1900-01-01 22:40:00,1900-01-01 22:55:00,4,0,0,22,18.1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
5687,5687,7808,1.0,1900-01-01 19:50:00,1900-01-01 20:00:00,3,0,0,26,7.1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5688,5688,7809,1.0,1900-01-01 21:40:00,1900-01-01 21:50:00,4,0,0,41,16.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
5690,5690,7814,1.0,1900-01-01 17:30:00,1900-01-01 17:45:00,4,0,0,35,19.7,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
5691,5691,7815,1.0,1900-01-01 12:00:00,1900-01-01 12:10:00,3,0,0,23,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
5695,5695,7820,1.0,1900-01-01 11:00:00,1900-01-01 11:10:00,3,0,0,23,11.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
5696,5696,7821,1.0,1900-01-01 20:40:00,1900-01-01 20:50:00,4,0,1,32,19.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
5697,5697,7822,1.0,1900-01-01 11:30:00,1900-01-01 11:40:00,1,0,0,25,6.8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5698,5698,7823,1.0,1900-01-01 23:50:00,1900-01-01 00:00:00,5,1,0,15,12.8,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
5700,5700,7825,1.0,1900-01-01 11:35:00,1900-01-01 11:40:00,3,0,0,29,5.1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0
5702,5702,7828,1.0,1900-01-01 10:00:00,1900-01-01 10:10:00,0,0,0,24,5.8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
5703,5703,7830,1.0,1900-01-01 09:55:00,1900-01-01 10:10:00,5,1,0,15,9.5,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0
5705,5705,7832,1.0,1900-01-01 19:15:00,1900-01-01 19:30:00,0,0,0,40,17.9,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
5707,5707,7835,1.0,1900-01-01 23:40:00,1900-01-01 23:45:00,1,0,0,11,8.4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
5708,5708,7836,1.0,1900-01-01 08:35:00,1900-01-01 08:45:00,0,0,0,20,2.4,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
5709,5709,7837,1.0,1900-01-01 18:55:00,1900-01-01 19:10:00,5,1,0,18,18.5,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1
5711,5711,7839,1.0,1900-01-01 20:35:00,1900-01-01 20:45:00,6,1,0,28,17.3,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0
5712,5712,7840,1.0,1900-01-01 17:35:00,1900-01-01 17:40:00,2,0,0,38,22.7,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
5713,5713,7841,2.0,1900-01-01 14:10:00,1900-01-01 14:20:00,3,0,0,49,14.1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5718,5718,7847,1.0,1900-01-01 19:30:00,1900-01-01 19:40:00,2,0,0,29,20.2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0
5720,5720,7849,1.0,1900-01-01 00:00:00,1900-01-01 00:05:00,4,0,0,25,19.2,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0
5721,5721,7850,1.0,1900-01-01 21:55:00,1900-01-01 22:05:00,2,0,0,36,12.5,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0
5723,5723,7853,1.0,1900-01-01 20:10:00,1900-01-01 20:15:00,4,0,0,34,25.4,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
5724,5724,7855,1.0,1900-01-01 18:15:00,1900-01-01 18:30:00,4,0,0,31,25.3,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
5725,5725,7856,1.0,1900-01-01 15:35:00,1900-01-01 15:50:00,6,1,0,15,7.9,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
5726,5726,7857,1.0,1900-01-01 10:25:00,1900-01-01 10:35:00,6,1,0,19,2.2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
5727,5727,7858,1.0,1900-01-01 15:25:00,1900-01-01 15:40:00,1,0,0,28,14.3,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0
5728,5728,7859,2.0,1900-01-01 11:10:00,1900-01-01 11:25:00,2,0,0,53,4.2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
5729,5729,7860,1.0,1900-01-01 18:45:00,1900-01-01 19:00:00,4,0,0,26,14.0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
5731,5731,7862,1.0,1900-01-01 23:50:00,1900-01-01 00:05:00,3,0,0,29,5.1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
5732,5732,7863,1.0,1900-01-01 17:45:00,1900-01-01 17:55:00,3,0,0,28,21.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
5733,5733,7864,1.0,1900-01-01 16:40:00,1900-01-01 16:50:00,3,0,0,27,8.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
5734,5734,7867,1.0,1900-01-01 22:45:00,1900-01-01 22:50:00,5,1,0,16,7.4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
5735,5735,7868,1.0,1900-01-01 14:50:00,1900-01-01 14:55:00,3,0,0,25,7.1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5736,5736,7869,1.0,1900-01-01 22:45:00,1900-01-01 22:50:00,3,0,0,19,32.5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
5737,5737,7870,1.0,1900-01-01 19:35:00,1900-01-01 19:50:00,4,0,0,21,26.5,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0
5738,5738,7871,1.0,1900-01-01 23:40:00,1900-01-01 23:45:00,6,1,0,29,16.7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
5743,5743,7879,1.0,1900-01-01 17:45:00,1900-01-01 17:50:00,0,0,0,36,20.3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
5745,5745,7881,1.0,1900-01-01 18:20:00,1900-01-01 18:35:00,4,0,0,30,19.1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
5746,5746,7882,1.0,1900-01-01 11:35:00,1900-01-01 11:40:00,0,0,0,21,4.3,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0
5750,5750,7887,1.0,1900-01-01 23:30:00,1900-01-01 23:45:00,0,0,0,20,23.2,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0
5751,5751,7888,1.0,1900-01-01 11:40:00,1900-01-01 11:55:00,3,0,0,32,1.9,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5752,5752,7889,1.0,1900-01-01 18:50:00,1900-01-01 19:00:00,6,1,0,26,14.5,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
5753,5753,7890,1.0,1900-01-01 22:35:00,1900-01-01 22:50:00,1,0,0,19,10.9,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
5755,5755,7892,1.0,1900-01-01 20:15:00,1900-01-01 20:20:00,0,0,0,19,12.9,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
5757,5757,7894,1.0,1900-01-01 20:20:00,1900-01-01 20:35:00,0,0,0,38,20.3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5758,5758,7895,1.0,1900-01-01 19:25:00,1900-01-01 19:35:00,6,1,0,37,20.3,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0
5759,5759,7896,2.0,1900-01-01 19:30:00,1900-01-01 19:45:00,5,1,0,45,12.3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
5760,5760,7898,1.0,1900-01-01 21:55:00,1900-01-01 22:10:00,2,0,0,27,11.9,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0
5761,5761,7899,1.0,1900-01-01 22:00:00,1900-01-01 22:15:00,6,1,0,25,17.6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5763,5763,7901,1.0,1900-01-01 19:55:00,1900-01-01 20:10:00,4,0,0,23,15.4,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
5764,5764,7902,1.0,1900-01-01 18:50:00,1900-01-01 19:00:00,1,0,0,28,19.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
5765,5765,7904,1.0,1900-01-01 21:10:00,1900-01-01 21:20:00,2,0,0,22,13.8,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0
5768,5768,7909,1.0,1900-01-01 11:30:00,1900-01-01 11:45:00,0,0,0,28,2.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5769,5769,7910,1.0,1900-01-01 18:30:00,1900-01-01 18:45:00,4,0,0,38,15.4,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
5770,5770,7913,1.0,1900-01-01 22:50:00,1900-01-01 23:05:00,4,0,0,20,25.8,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
5771,5771,7914,1.0,1900-01-01 17:25:00,1900-01-01 17:35:00,2,0,0,27,12.8,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
5774,5774,7919,1.0,1900-01-01 18:20:00,1900-01-01 18:30:00,6,1,0,46,32.3,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0
5775,5775,7920,1.0,1900-01-01 20:55:00,1900-01-01 21:10:00,1,0,0,30,29.2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,1
5777,5777,7922,1.0,1900-01-01 08:15:00,1900-01-01 08:20:00,0,0,0,29,3.1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0
5778,5778,7923,1.0,1900-01-01 12:00:00,1900-01-01 12:10:00,6,1,0,30,1.7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5779,5779,7924,1.0,1900-01-01 23:20:00,1900-01-01 23:35:00,3,0,0,27,25.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
5780,5780,7926,1.0,1900-01-01 21:15:00,1900-01-01 21:30:00,0,0,0,18,24.5,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0
5782,5782,7932,1.0,1900-01-01 19:20:00,1900-01-01 19:25:00,6,1,0,25,12.7,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0
5786,5786,7936,1.0,1900-01-01 23:25:00,1900-01-01 23:35:00,0,0,0,18,22.2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
5787,5787,7937,1.0,1900-01-01 12:25:00,1900-01-01 12:30:00,5,1,0,34,10.5,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0
5788,5788,7938,1.0,1900-01-01 21:50:00,1900-01-01 22:00:00,5,1,0,25,18.1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
5789,5789,7940,1.0,1900-01-01 21:00:00,1900-01-01 21:05:00,4,0,0,20,6.7,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0
5790,5790,7941,3.0,1900-01-01 20:25:00,1900-01-01 20:30:00,6,1,0,48,17.6,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0
5794,5794,7946,1.0,1900-01-01 08:30:00,1900-01-01 08:35:00,2,0,0,16,4.2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
5795,5795,7947,1.0,1900-01-01 22:20:00,1900-01-01 22:25:00,6,1,0,23,27.9,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,1,0,0
5796,5796,7948,1.0,1900-01-01 15:10:00,1900-01-01 15:20:00,3,0,0,19,7.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5797,5797,7949,1.0,1900-01-01 18:55:00,1900-01-01 19:10:00,0,0,0,13,16.0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,1
5799,5799,7952,1.0,1900-01-01 19:40:00,1900-01-01 19:50:00,3,0,0,30,11.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
5801,5801,7955,1.0,1900-01-01 16:25:00,1900-01-01 16:30:00,1,0,0,29,10.9,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
5803,5803,7959,2.0,1900-01-01 20:30:00,1900-01-01 20:35:00,4,0,1,39,30.8,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0
5804,5804,7961,1.0,1900-01-01 21:00:00,1900-01-01 21:05:00,4,0,1,32,28.4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
5805,5805,7962,1.0,1900-01-01 21:55:00,1900-01-01 22:00:00,5,1,0,23,31.1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
5806,5806,7964,1.0,1900-01-01 11:35:00,1900-01-01 11:40:00,0,0,0,23,2.4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
5807,5807,7966,1.0,1900-01-01 11:25:00,1900-01-01 11:30:00,5,1,0,15,8.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5808,5808,7967,1.0,1900-01-01 19:35:00,1900-01-01 19:45:00,5,1,0,32,11.2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
5810,5810,7969,1.0,1900-01-01 14:30:00,1900-01-01 14:40:00,4,0,0,27,9.9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
5812,5812,7971,1.0,1900-01-01 21:10:00,1900-01-01 21:15:00,6,1,0,36,47.4,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0
5813,5813,7972,1.0,1900-01-01 10:55:00,1900-01-01 11:00:00,5,1,0,21,2.1,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0
5814,5814,7973,2.0,1900-01-01 17:20:00,1900-01-01 17:30:00,4,0,0,37,29.5,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0
5815,5815,7974,1.0,1900-01-01 21:15:00,1900-01-01 21:30:00,6,1,0,43,18.5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
5816,5816,7976,1.0,1900-01-01 17:25:00,1900-01-01 17:30:00,4,0,0,24,20.4,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0
5818,5818,7978,1.0,1900-01-01 10:25:00,1900-01-01 10:35:00,5,1,0,25,1.7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
5819,5819,7979,1.0,1900-01-01 11:25:00,1900-01-01 11:35:00,6,1,0,21,2.1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
5820,5820,7980,1.0,1900-01-01 20:50:00,1900-01-01 21:05:00,2,0,0,16,12.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
5821,5821,7981,1.0,1900-01-01 19:30:00,1900-01-01 19:45:00,5,1,0,23,13.4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
5824,5824,7984,1.0,1900-01-01 10:00:00,1900-01-01 10:05:00,1,0,0,19,7.2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
5825,5825,7985,1.0,1900-01-01 20:20:00,1900-01-01 20:30:00,4,0,0,44,18.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
5827,5827,7987,1.0,1900-01-01 08:25:00,1900-01-01 08:35:00,3,0,0,28,3.7,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
5828,5828,7988,1.0,1900-01-01 13:50:00,1900-01-01 14:05:00,5,1,0,23,11.6,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
5829,5829,7989,1.0,1900-01-01 10:35:00,1900-01-01 10:50:00,6,1,0,14,2.1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0
5830,5830,7990,1.0,1900-01-01 20:15:00,1900-01-01 20:20:00,0,0,0,44,18.8,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
5831,5831,7991,1.0,1900-01-01 20:25:00,1900-01-01 20:40:00,2,0,0,37,17.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
5835,5835,7997,1.0,1900-01-01 14:10:00,1900-01-01 14:25:00,2,0,0,35,16.3,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0
5838,5838,8001,1.0,1900-01-01 18:15:00,1900-01-01 18:30:00,1,0,0,29,11.9,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
5840,5840,8003,1.0,1900-01-01 12:50:00,1900-01-01 13:00:00,5,1,0,26,7.8,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
5841,5841,8004,1.0,1900-01-01 19:15:00,1900-01-01 19:30:00,3,0,0,12,12.2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
5842,5842,8006,1.0,1900-01-01 13:15:00,1900-01-01 13:20:00,1,0,0,37,13.5,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5843,5843,8007,1.0,1900-01-01 18:00:00,1900-01-01 18:15:00,6,1,0,26,11.5,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1
