,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min)
11417,23.357804,85.325146,23.397804,85.365146,2022-05-03,15:00,15:10,Fog,High,2,Snack,scooter,1.0,No,Metropolitian,1900-01-01 15:00:00,1900-01-01 15:10:00,1,0,0,36
22114,19.131141,72.813074,19.21114,72.893074,2022-03-29,19:50,20:05,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Urban,1900-01-01 19:50:00,1900-01-01 20:05:00,1,0,0,49
20582,11.010375,76.95295,11.100375,77.04295,2022-03-16,22:20,22:35,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,1900-01-01 22:20:00,1900-01-01 22:35:00,2,0,0,15
33629,12.337928,76.617889,12.447928,76.727889,2022-08-03,19:20,19:25,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 19:20:00,1900-01-01 19:25:00,2,0,0,24
3744,13.027018,80.254791,13.077018,80.304791,2022-03-19,19:20,19:25,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 19:20:00,1900-01-01 19:25:00,5,1,0,21
25555,18.927584,72.832585,19.037584,72.942585,2022-06-03,19:25,19:40,Fog,Jam,0,Meal,motorcycle,1.0,Yes,Metropolitian,1900-01-01 19:25:00,1900-01-01 19:40:00,4,0,0,43
38733,26.766536,75.837333,26.836536,75.907333,2022-02-03,19:50,20:05,Cloudy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,1900-01-01 19:50:00,1900-01-01 20:05:00,3,0,0,43
29651,17.483216,78.552111,17.573216,78.642111,2022-08-03,18:50,19:00,Fog,Medium,1,Buffet,scooter,0.0,No,Metropolitian,1900-01-01 18:50:00,1900-01-01 19:00:00,2,0,0,31
30544,19.1813,72.836191,19.2913,72.946191,2022-12-03,19:00,19:10,Sandstorms,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 19:00:00,1900-01-01 19:10:00,5,1,0,20
16828,22.311844,73.165081,22.381844,73.235081,2022-03-18,18:45,18:55,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 18:45:00,1900-01-01 18:55:00,4,0,1,29
17441,18.536562,73.896485,18.646562,74.006485,2022-03-31,22:45,22:55,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 22:45:00,1900-01-01 22:55:00,3,0,0,25
31602,12.323978,76.627961,12.343978,76.647961,2022-03-21,11:45,11:55,Sunny,High,2,Snack,electric_scooter,0.0,No,Metropolitian,1900-01-01 11:45:00,1900-01-01 11:55:00,0,0,0,17
15779,17.431668,78.408321,17.471668,78.448321,2022-03-04,12:35,12:50,Cloudy,High,1,Meal,scooter,1.0,No,Metropolitian,1900-01-01 12:35:00,1900-01-01 12:50:00,4,0,0,28
33608,26.891191,75.802083,26.941191,75.852083,2022-11-03,21:35,21:45,Windy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,1900-01-01 21:35:00,1900-01-01 21:45:00,3,0,0,28
25233,19.221315,72.862381,19.301315,72.942381,2022-03-27,17:50,18:05,Cloudy,Medium,0,Drinks,motorcycle,1.0,Yes,Metropolitian,1900-01-01 17:50:00,1900-01-01 18:05:00,6,1,0,49
24199,11.003008,76.97544,11.033008,77.00544,2022-03-26,22:40,22:55,Windy,Low,1,Buffet,scooter,1.0,No,Urban,1900-01-01 22:40:00,1900-01-01 22:55:00,5,1,0,14
39797,22.745536,75.893106,22.765536,75.913106,2022-03-26,11:30,11:45,Stormy,High,0,Buffet,motorcycle,2.0,No,Urban,1900-01-01 11:30:00,1900-01-01 11:45:00,5,1,0,39
5366,19.22384,72.841347,19.25384,72.871347,2022-03-30,17:50,17:55,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 17:50:00,1900-01-01 17:55:00,2,0,0,26
32086,18.546258,73.904337,18.586258,73.944337,2022-03-13,15:00,15:15,Sunny,High,2,Buffet,electric_scooter,0.0,No,Metropolitian,1900-01-01 15:00:00,1900-01-01 15:15:00,6,1,0,16
5850,21.186438,72.794115,21.276438,72.884115,2022-04-03,17:40,17:55,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 17:40:00,1900-01-01 17:55:00,6,1,0,32
20807,19.103249,72.846749,19.163249,72.906749,2022-03-19,19:55,20:10,Sunny,Jam,0,Meal,motorcycle,1.0,No,Urban,1900-01-01 19:55:00,1900-01-01 20:10:00,5,1,0,27
37484,10.96185,76.971082,11.02185,77.031082,2022-03-17,22:10,22:20,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 22:10:00,1900-01-01 22:20:00,3,0,0,24
29876,23.230791,77.43702,23.280791,77.48702,2022-02-17,18:45,18:50,Fog,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 18:45:00,1900-01-01 18:50:00,3,0,0,20
35640,9.979363,76.285001,9.989363,76.295001,2022-02-15,9:45,9:50,Cloudy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 09:45:00,1900-01-01 09:50:00,1,0,0,16
38188,11.000762,76.981876,11.020762,77.001876,2022-09-03,8:45,9:00,Stormy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,1900-01-01 08:45:00,1900-01-01 09:00:00,5,1,0,10
21915,19.176269,72.836721,19.246269,72.906721,2022-03-23,18:15,18:25,Windy,Medium,1,Drinks,scooter,1.0,No,Urban,1900-01-01 18:15:00,1900-01-01 18:25:00,2,0,0,20
29295,12.975377,77.696664,13.055377,77.776664,2022-03-16,22:15,22:20,Cloudy,Low,2,Meal,motorcycle,0.0,No,Urban,1900-01-01 22:15:00,1900-01-01 22:20:00,2,0,0,32
7974,11.024839,77.007003,11.134839,77.117003,2022-06-04,20:40,20:45,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 20:40:00,1900-01-01 20:45:00,5,1,0,25
35286,18.516216,73.842527,18.586216,73.912527,2022-06-04,23:40,23:45,Fog,Low,1,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 23:40:00,1900-01-01 23:45:00,5,1,0,23
19686,13.029198,77.570997,13.059198,77.600997,2022-03-28,18:40,18:45,Windy,Medium,0,Buffet,motorcycle,1.0,No,Urban,1900-01-01 18:40:00,1900-01-01 18:45:00,0,0,0,35
18165,18.636215,73.751081,18.656215,73.771081,2022-03-04,12:00,12:15,Fog,High,2,Snack,electric_scooter,1.0,No,Metropolitian,1900-01-01 12:00:00,1900-01-01 12:15:00,4,0,0,33
21344,18.592718,73.773572,18.672718,73.853572,2022-04-04,20:40,20:55,Sunny,Jam,2,Drinks,scooter,1.0,No,Urban,1900-01-01 20:40:00,1900-01-01 20:55:00,0,0,0,22
37029,12.981615,80.231598,13.001615,80.251598,2022-03-21,10:15,10:25,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 10:15:00,1900-01-01 10:25:00,0,0,0,20
18014,11.001852,76.976268,11.131852,77.106268,2022-03-18,17:25,17:40,Fog,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,1900-01-01 17:25:00,1900-01-01 17:40:00,4,0,1,38
20137,12.979096,77.640625,13.069096,77.730625,2022-04-03,19:40,19:55,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Urban,1900-01-01 19:40:00,1900-01-01 19:55:00,6,1,0,17
29420,18.994237,72.825553,19.064237,72.895553,2022-03-25,17:50,17:55,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,1900-01-01 17:50:00,1900-01-01 17:55:00,4,0,0,31
21979,23.354422,85.3329,23.404422,85.3829,2022-03-13,21:45,21:50,Fog,Jam,2,Meal,electric_scooter,1.0,No,Urban,1900-01-01 21:45:00,1900-01-01 21:50:00,6,1,0,27
30517,26.902328,75.794257,26.932328,75.824257,2022-03-26,18:35,18:40,Fog,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,1900-01-01 18:35:00,1900-01-01 18:40:00,5,1,0,18
14284,9.966783,76.242981,10.006783,76.282981,2022-02-17,16:40,16:50,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,1900-01-01 16:40:00,1900-01-01 16:50:00,3,0,0,27
25326,23.351489,85.324253,23.461489,85.434253,2022-03-23,19:50,20:00,Stormy,Jam,2,Meal,electric_scooter,1.0,Yes,Urban,1900-01-01 19:50:00,1900-01-01 20:00:00,2,0,0,42
13934,19.12663,72.829976,19.18663,72.889976,2022-03-21,20:25,20:40,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,1900-01-01 20:25:00,1900-01-01 20:40:00,0,0,0,20
26877,12.3085,76.665808,12.3885,76.745808,2022-03-20,20:40,20:55,Sandstorms,Jam,2,Buffet,electric_scooter,0.0,No,Urban,1900-01-01 20:40:00,1900-01-01 20:55:00,6,1,0,15
14739,26.479108,80.315042,26.609108,80.445042,2022-02-14,23:10,23:15,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 23:10:00,1900-01-01 23:15:00,0,0,0,18
16678,11.024839,77.007003,11.134839,77.117003,2022-03-14,20:00,20:05,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,1900-01-01 20:00:00,1900-01-01 20:05:00,0,0,0,28
18892,21.173493,72.801953,21.253493,72.881953,2022-10-03,21:00,21:15,Stormy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,1900-01-01 21:00:00,1900-01-01 21:15:00,0,0,0,18
20790,11.024839,77.007003,11.154839,77.137003,2022-08-03,19:15,19:30,Fog,Jam,0,Snack,motorcycle,1.0,No,Urban,1900-01-01 19:15:00,1900-01-01 19:30:00,2,0,0,39
26916,26.88842,75.800689,26.92842,75.840689,2022-03-26,12:20,12:35,Windy,High,1,Drinks,scooter,0.0,No,Urban,1900-01-01 12:20:00,1900-01-01 12:35:00,5,1,0,18
17735,26.913726,75.75282,26.963726,75.80282,2022-07-03,21:40,21:45,Fog,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,1900-01-01 21:40:00,1900-01-01 21:45:00,6,1,0,37
22829,22.307898,73.167788,22.417898,73.277788,2022-02-03,17:55,18:10,Sandstorms,Medium,2,Meal,scooter,1.0,No,Urban,1900-01-01 17:55:00,1900-01-01 18:10:00,3,0,0,22
23843,10.000706,76.349516,10.050706,76.399516,2022-02-17,18:40,18:45,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,1900-01-01 18:40:00,1900-01-01 18:45:00,3,0,0,15
21227,12.323225,76.630028,12.413225,76.720028,2022-10-03,19:50,20:05,Fog,Jam,1,Drinks,motorcycle,1.0,No,Urban,1900-01-01 19:50:00,1900-01-01 20:05:00,0,0,0,46
32705,12.970324,77.645748,13.040324,77.715748,2022-03-20,20:15,20:20,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,1900-01-01 20:15:00,1900-01-01 20:20:00,6,1,0,33
6784,18.55144,73.804855,18.59144,73.844855,2022-03-19,16:15,16:25,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 16:15:00,1900-01-01 16:25:00,5,1,0,34
37754,12.311072,76.654878,12.321072,76.664878,2022-11-03,10:25,10:30,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,1900-01-01 10:25:00,1900-01-01 10:30:00,3,0,0,14
36196,26.913987,75.752891,26.963987,75.802891,2022-03-21,23:00,23:15,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 23:00:00,1900-01-01 23:15:00,0,0,0,22
14849,18.569156,73.774723,18.699156,73.904723,2022-02-03,0:00,0:10,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,1900-01-01 00:00:00,1900-01-01 00:10:00,3,0,0,21
12825,17.424114,78.347554,17.474114,78.397554,2022-03-21,21:20,21:25,Windy,Jam,1,Snack,scooter,1.0,No,Metropolitian,1900-01-01 21:20:00,1900-01-01 21:25:00,0,0,0,26
22446,30.328174,78.049117,30.348174,78.069117,2022-02-15,10:25,10:35,Fog,Low,2,Drinks,motorcycle,1.0,No,Urban,1900-01-01 10:25:00,1900-01-01 10:35:00,1,0,0,10
11513,26.905287,75.794592,26.975287,75.864592,2022-03-23,23:30,23:40,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 23:30:00,1900-01-01 23:40:00,2,0,0,42
21894,12.334022,76.618203,12.364022,76.648203,2022-05-04,18:00,18:05,Sunny,Medium,1,Snack,scooter,1.0,No,Urban,1900-01-01 18:00:00,1900-01-01 18:05:00,2,0,0,17
38346,22.311603,73.165012,22.381603,73.235012,2022-03-14,23:30,23:45,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,1900-01-01 23:30:00,1900-01-01 23:45:00,0,0,0,41
26574,12.975996,80.221898,13.065996,80.311898,2022-06-03,19:30,19:35,Windy,Jam,1,Meal,scooter,0.0,No,Urban,1900-01-01 19:30:00,1900-01-01 19:35:00,4,0,0,17
22724,26.849596,75.800512,26.899596,75.850512,2022-05-03,21:00,21:15,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,1900-01-01 21:00:00,1900-01-01 21:15:00,1,0,0,15
19490,22.310526,73.170937,22.340526,73.200937,2022-03-15,20:55,21:00,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Urban,1900-01-01 20:55:00,1900-01-01 21:00:00,1,0,0,42
36369,9.966783,76.242981,9.986783,76.262981,2022-11-02,9:50,10:00,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 09:50:00,1900-01-01 10:00:00,2,0,0,15
16932,17.431477,78.40035,17.511477,78.48035,2022-03-31,18:55,19:05,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,1900-01-01 18:55:00,1900-01-01 19:05:00,3,0,0,27
16371,12.310972,76.659264,12.320972,76.669264,2022-01-04,11:00,11:15,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,1900-01-01 11:00:00,1900-01-01 11:15:00,1,0,0,12
39686,18.516216,73.842527,18.626216,73.952527,2022-06-03,23:25,23:35,Sunny,Low,1,Meal,motorcycle,2.0,No,Metropolitian,1900-01-01 23:25:00,1900-01-01 23:35:00,4,0,0,40
5029,12.352058,76.60665,12.462058,76.71665,2022-04-03,19:00,19:05,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 19:00:00,1900-01-01 19:05:00,6,1,0,44
6703,17.429585,78.392621,17.469585,78.432621,2022-03-04,13:25,13:40,Sandstorms,High,1,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 13:25:00,1900-01-01 13:40:00,4,0,0,31
12847,9.985497,76.276999,10.115497,76.406999,2022-12-02,18:20,18:25,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 18:20:00,1900-01-01 18:25:00,4,0,0,26
5196,21.160437,72.774209,21.190437,72.804209,2022-11-03,18:30,18:45,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 18:30:00,1900-01-01 18:45:00,3,0,0,21
2558,18.563934,73.915367,18.653934,74.005367,2022-04-03,19:15,19:30,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 19:15:00,1900-01-01 19:30:00,6,1,0,39
10835,25.457116,81.859682,25.477116,81.879682,2022-11-02,9:10,9:25,Sunny,Low,2,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 09:10:00,1900-01-01 09:25:00,2,0,0,19
22236,23.351058,85.325731,23.361058,85.335731,2022-03-17,11:35,11:40,Sandstorms,High,1,Drinks,motorcycle,1.0,No,Urban,1900-01-01 11:35:00,1900-01-01 11:40:00,3,0,0,28
33118,19.065838,72.832658,19.135838,72.902658,2022-03-27,21:30,21:40,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 21:30:00,1900-01-01 21:40:00,6,1,0,26
15878,11.010375,76.95295,11.100375,77.04295,2022-03-27,19:50,20:00,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 19:50:00,1900-01-01 20:00:00,6,1,0,25
18676,21.170096,72.789122,21.280096,72.899122,2022-08-03,21:00,21:15,Windy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,1900-01-01 21:00:00,1900-01-01 21:15:00,2,0,0,27
5372,11.022477,76.995667,11.152477,77.125667,2022-03-25,17:30,17:35,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 17:30:00,1900-01-01 17:35:00,4,0,0,29
33639,18.536718,73.830327,18.616719,73.910327,2022-03-16,19:25,19:30,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,1900-01-01 19:25:00,1900-01-01 19:30:00,2,0,0,35
8385,26.892312,75.806896,26.952313,75.866896,2022-03-15,22:55,23:10,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 22:55:00,1900-01-01 23:10:00,1,0,0,13
7446,11.026117,76.944652,11.066117,76.984652,2022-05-03,12:20,12:25,Sandstorms,High,1,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 12:20:00,1900-01-01 12:25:00,1,0,0,26
8249,9.979363,76.285001,10.069363,76.375001,2022-02-14,22:20,22:25,Sunny,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 22:20:00,1900-01-01 22:25:00,0,0,0,30
30403,19.121999,72.908493,19.151999,72.938493,2022-05-04,18:35,18:40,Windy,Medium,2,Meal,scooter,0.0,No,Metropolitian,1900-01-01 18:35:00,1900-01-01 18:40:00,2,0,0,27
21564,17.438263,78.397865,17.568263,78.527865,2022-06-04,22:20,22:30,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,1900-01-01 22:20:00,1900-01-01 22:30:00,5,1,0,15
17610,17.426228,78.407495,17.536228,78.517495,2022-03-16,23:25,23:40,Windy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,1900-01-01 23:25:00,1900-01-01 23:40:00,2,0,0,20
27314,19.103249,72.846749,19.143249,72.886749,2022-03-30,15:15,15:25,Sandstorms,Medium,0,Meal,motorcycle,0.0,No,Urban,1900-01-01 15:15:00,1900-01-01 15:25:00,2,0,0,16
36112,12.316967,76.603067,12.326967,76.613067,2022-05-04,8:30,8:35,Fog,Low,2,Buffet,scooter,0.0,No,Metropolitian,1900-01-01 08:30:00,1900-01-01 08:35:00,2,0,0,18
15027,22.311358,73.164798,22.321358,73.174798,2022-05-04,11:10,11:15,Cloudy,High,2,Snack,scooter,1.0,No,Metropolitian,1900-01-01 11:10:00,1900-01-01 11:15:00,2,0,0,35
29849,25.459775,81.834841,25.489775,81.864841,2022-02-17,17:20,17:30,Cloudy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 17:20:00,1900-01-01 17:30:00,3,0,0,22
18036,23.353783,85.326967,23.363783,85.336967,2022-03-21,9:00,9:10,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,1900-01-01 09:00:00,1900-01-01 09:10:00,0,0,0,18
33292,12.334022,76.618203,12.384022,76.668203,2022-03-26,19:40,19:50,Cloudy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,1900-01-01 19:40:00,1900-01-01 19:50:00,5,1,0,37
31823,17.483216,78.552111,17.523216,78.592111,2022-03-26,12:35,12:50,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,1900-01-01 12:35:00,1900-01-01 12:50:00,5,1,0,14
8253,12.311072,76.654878,12.381072,76.724878,2022-03-20,22:30,22:35,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 22:30:00,1900-01-01 22:35:00,6,1,0,16
14048,23.354422,85.3329,23.484422,85.4629,2022-03-29,22:00,22:15,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 22:00:00,1900-01-01 22:15:00,1,0,0,18
23900,11.000762,76.981876,11.130762,77.111876,2022-03-16,17:45,17:55,Windy,Medium,0,Drinks,motorcycle,1.0,No,Urban,1900-01-01 17:45:00,1900-01-01 17:55:00,2,0,0,27
15546,26.910262,75.783013,27.040262,75.913013,2022-04-03,18:50,19:05,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 18:50:00,1900-01-01 19:05:00,6,1,0,30
33286,11.000762,76.981876,11.130762,77.111876,2022-03-29,20:20,20:25,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 20:20:00,1900-01-01 20:25:00,1,0,0,24
1557,26.90294,75.793007,26.96294,75.853007,2022-05-03,23:15,23:25,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 23:15:00,1900-01-01 23:25:00,1,0,0,25
7009,12.325461,76.632278,12.395461,76.702278,2022-03-14,19:50,19:55,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 19:50:00,1900-01-01 19:55:00,0,0,0,38
4590,30.366322,78.070453,30.406322,78.110453,2022-02-17,15:40,15:55,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 15:40:00,1900-01-01 15:55:00,3,0,0,22
19254,11.003681,76.975525,11.113681,77.085525,2022-04-04,19:55,20:10,Stormy,Jam,2,Meal,scooter,1.0,No,Urban,1900-01-01 19:55:00,1900-01-01 20:10:00,0,0,0,39
34161,12.337928,76.617889,12.427928,76.707889,2022-02-03,19:40,19:45,Sunny,Jam,2,Meal,scooter,0.0,No,Metropolitian,1900-01-01 19:40:00,1900-01-01 19:45:00,3,0,0,24
11636,26.913483,75.803139,27.043483,75.933139,2022-10-03,18:30,18:45,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 18:30:00,1900-01-01 18:45:00,0,0,0,34
21011,11.003669,76.976494,11.073669,77.046494,2022-02-04,17:25,17:30,Stormy,Medium,1,Drinks,scooter,1.0,No,Urban,1900-01-01 17:25:00,1900-01-01 17:30:00,4,0,0,17
19566,9.960846,76.293936,10.040846,76.373936,2022-12-02,21:40,21:50,Windy,Jam,0,Drinks,motorcycle,1.0,No,Urban,1900-01-01 21:40:00,1900-01-01 21:50:00,4,0,0,36
8275,18.56245,73.916619,18.57245,73.926619,2022-03-04,9:45,10:00,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 09:45:00,1900-01-01 10:00:00,4,0,0,13
35416,22.310526,73.170937,22.320526,73.180937,2022-03-13,8:50,8:55,Sunny,Low,0,Snack,motorcycle,0.0,No,Metropolitian,1900-01-01 08:50:00,1900-01-01 08:55:00,6,1,0,17
41163,22.732225,75.874765,22.862225,76.004765,2022-03-14,18:10,18:25,Sandstorms,Medium,0,Buffet,motorcycle,3.0,Yes,Metropolitian,1900-01-01 18:10:00,1900-01-01 18:25:00,0,0,0,49
24224,26.902908,75.792934,26.992908,75.882934,2022-03-25,23:40,23:45,Windy,Low,1,Snack,scooter,1.0,No,Urban,1900-01-01 23:40:00,1900-01-01 23:45:00,4,0,0,15
25382,21.170096,72.789122,21.240096,72.859122,2022-03-31,21:10,21:25,Stormy,Jam,2,Drinks,electric_scooter,1.0,Yes,Metropolitian,1900-01-01 21:10:00,1900-01-01 21:25:00,3,0,0,42
33865,21.15276,72.778059,21.22276,72.848059,2022-08-03,20:50,20:55,Fog,Jam,2,Drinks,scooter,0.0,No,Metropolitian,1900-01-01 20:50:00,1900-01-01 20:55:00,2,0,0,30
25324,26.902908,75.792934,27.012908,75.902934,2022-03-31,21:10,21:15,Fog,Jam,0,Snack,motorcycle,1.0,Yes,Semi-Urban,1900-01-01 21:10:00,1900-01-01 21:15:00,3,0,0,47
950,12.935662,77.61413,13.045662,77.72413,2022-03-29,23:25,23:35,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 23:25:00,1900-01-01 23:35:00,1,0,0,43
8648,22.760072,75.892574,22.830072,75.962574,2022-08-03,19:30,19:45,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 19:30:00,1900-01-01 19:45:00,2,0,0,29
23876,22.732225,75.874765,22.862225,76.004765,2022-03-31,17:15,17:25,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Urban,1900-01-01 17:15:00,1900-01-01 17:25:00,3,0,0,30
25325,18.539299,73.897902,18.609299,73.967902,2022-06-04,21:50,21:55,Cloudy,Jam,0,Drinks,motorcycle,1.0,Yes,Urban,1900-01-01 21:50:00,1900-01-01 21:55:00,5,1,0,43
30121,22.725748,75.898497,22.755747,75.928497,2022-03-30,17:20,17:35,Sunny,Medium,1,Buffet,scooter,0.0,No,Metropolitian,1900-01-01 17:20:00,1900-01-01 17:35:00,2,0,0,16
2862,17.438263,78.397865,17.568263,78.527865,2022-03-29,20:25,20:40,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 20:25:00,1900-01-01 20:40:00,1,0,0,44
2915,30.914057,75.83982,30.994057,75.91982,2022-02-14,19:20,19:30,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 19:20:00,1900-01-01 19:30:00,0,0,0,46
30541,23.232537,77.429845,23.282537,77.479845,2022-02-15,17:10,17:15,Windy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 17:10:00,1900-01-01 17:15:00,1,0,0,27
39182,21.175975,72.795503,21.245975,72.865503,2022-03-14,18:45,19:00,Stormy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,1900-01-01 18:45:00,1900-01-01 19:00:00,0,0,0,37
31459,18.927584,72.832585,19.017584,72.922585,2022-08-03,17:45,18:00,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 17:45:00,1900-01-01 18:00:00,2,0,0,41
15237,26.90294,75.793007,27.03294,75.923007,2022-02-04,23:10,23:25,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 23:10:00,1900-01-01 23:25:00,4,0,0,15
23163,26.913726,75.75282,26.923726,75.762821,2022-11-03,8:40,8:50,Windy,Low,2,Meal,scooter,1.0,No,Urban,1900-01-01 08:40:00,1900-01-01 08:50:00,3,0,0,23
41898,18.53408,73.89852,18.58408,73.94852,2022-05-04,20:20,20:35,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,1900-01-01 20:20:00,1900-01-01 20:35:00,2,0,0,19
28798,12.323978,76.627961,12.333978,76.637961,2022-03-15,10:45,11:00,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,1900-01-01 10:45:00,1900-01-01 11:00:00,1,0,0,17
8760,17.422819,78.449578,17.472819,78.499578,2022-03-28,20:30,20:35,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 20:30:00,1900-01-01 20:35:00,0,0,0,23
21363,12.970221,77.645396,13.000221,77.675396,2022-11-03,19:30,19:45,Fog,Jam,2,Drinks,scooter,1.0,No,Urban,1900-01-01 19:30:00,1900-01-01 19:45:00,3,0,0,36
2166,26.910262,75.783013,26.920262,75.793013,2022-03-26,10:35,10:50,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 10:35:00,1900-01-01 10:50:00,5,1,0,27
26998,21.160522,72.771477,21.220522,72.831477,2022-03-15,17:50,18:00,Fog,Medium,1,Meal,motorcycle,0.0,No,Urban,1900-01-01 17:50:00,1900-01-01 18:00:00,1,0,0,19
